ticker,second_ts,yes_open,yes_high,yes_low,yes_close,contracts,trade_count,yes_vwap
KXBTC15M-26SEP051745-45,1788644401,0.7,0.7,0.69,0.69,2469.62,67,0.6922018772118788
KXBTC15M-26SEP051745-45,1788644402,0.69,0.7,0.66,0.67,5206.54,110,0.6775082492403784
KXBTC15M-26SEP051745-45,1788644403,0.68,0.68,0.65,0.66,12795.44,109,0.664105868965819
KXBTC15M-26SEP051745-45,1788644404,0.66,0.67,0.65,0.67,4395.28,70,0.6598694963688321
KXBTC15M-26SEP051745-45,1788644405,0.66,0.67,0.65,0.66,3811.93,88,0.6593480730233766
KXBTC15M-26SEP051745-45,1788644406,0.65,0.66,0.65,0.65,3537.32,54,0.6577176789207649
KXBTC15M-26SEP051745-45,1788644407,0.65,0.66,0.64,0.64,2138.37,56,0.6419242694201659
KXBTC15M-26SEP051745-45,1788644408,0.64,0.65,0.64,0.65,1798.39,69,0.64426954108953
KXBTC15M-26SEP051745-45,1788644409,0.65,0.65,0.63,0.63,2604.57,59,0.631853549722219
KXBTC15M-26SEP051745-45,1788644410,0.63,0.64,0.63,0.63,2797.38,69,0.633282071080797
KXBTC15M-26SEP051745-45,1788644411,0.63,0.64,0.63,0.64,5286.78,60,0.6311931080922604
KXBTC15M-26SEP051745-45,1788644412,0.63,0.64,0.63,0.64,2145.05,45,0.6315803827416611
KXBTC15M-26SEP051745-45,1788644413,0.63,0.64,0.63,0.64,2185.51,55,0.6359444248710827
KXBTC15M-26SEP051745-45,1788644414,0.64,0.64,0.46,0.48,3808.21,150,0.5922178398775279
KXBTC15M-26SEP051745-45,1788644415,0.49,0.53,0.49,0.5,2249.48,94,0.5114072585664242
KXBTC15M-26SEP051745-45,1788644416,0.51,0.51,0.49,0.51,1860.54,66,0.5021750137056984
KXBTC15M-26SEP051745-45,1788644417,0.51,0.51,0.5,0.51,1598.04,36,0.5088596030136918
KXBTC15M-26SEP051745-45,1788644418,0.51,0.51,0.49,0.49,746.43,41,0.504353656739413
KXBTC15M-26SEP051745-45,1788644419,0.49,0.51,0.49,0.51,1048.29,52,0.4968552595178815
KXBTC15M-26SEP051745-45,1788644420,0.51,0.52,0.5,0.51,4569.32,61,0.5097880428597691
KXBTC15M-26SEP051745-45,1788644421,0.5,0.51,0.49,0.49,642.05,41,0.49912483451444595
KXBTC15M-26SEP051745-45,1788644422,0.5,0.51,0.49,0.5,1953.6299999999999,51,0.505236969129262
KXBTC15M-26SEP051745-45,1788644423,0.51,0.51,0.36,0.37,2474.54,121,0.46375710233013
KXBTC15M-26SEP051745-45,1788644424,0.36,0.41,0.36,0.4,1957.68,75,0.39089335335703485
KXBTC15M-26SEP051745-45,1788644425,0.39,0.41,0.39,0.41,3460.37,61,0.40275190225322727
KXBTC15M-26SEP051745-45,1788644426,0.41,0.41,0.37,0.38,874.0699999999999,53,0.3884587046804032
KXBTC15M-26SEP051745-45,1788644427,0.38,0.4,0.38,0.4,1088.24,57,0.38791819819157536
KXBTC15M-26SEP051745-45,1788644428,0.39,0.4,0.38,0.39,863.67,52,0.39334085935600405
KXBTC15M-26SEP051745-45,1788644429,0.39,0.39,0.36,0.38,1579.32,67,0.3730692956462275
KXBTC15M-26SEP051745-45,1788644430,0.39,0.39,0.38,0.38,2189.79,38,0.3820306970074756
KXBTC15M-26SEP051745-45,1788644431,0.39,0.39,0.38,0.39,1315.35,29,0.38769969969969975
KXBTC15M-26SEP051745-45,1788644432,0.38,0.39,0.38,0.39,784.58,38,0.38750057355527795
KXBTC15M-26SEP051745-45,1788644433,0.38,0.39,0.38,0.39,2173.75,38,0.38870748706152963
KXBTC15M-26SEP051745-45,1788644434,0.38,0.39,0.38,0.39,1729.81,36,0.38850561622374713
KXBTC15M-26SEP051745-45,1788644435,0.39,0.39,0.38,0.38,2862.41,44,0.3895437411132578
KXBTC15M-26SEP051745-45,1788644436,0.38,0.39,0.38,0.39,1514.06,30,0.3892935550770776
KXBTC15M-26SEP051745-45,1788644437,0.39,0.39,0.38,0.38,2133.33,40,0.38447460074156364
KXBTC15M-26SEP051745-45,1788644438,0.38,0.39,0.38,0.39,1232.36,40,0.38932300626440325
KXBTC15M-26SEP051745-45,1788644439,0.39,0.4,0.39,0.39,682.89,21,0.39791049803042955
KXBTC15M-26SEP051745-45,1788644440,0.4,0.4,0.39,0.4,654.59,22,0.395051253456362
KXBTC15M-26SEP051745-45,1788644441,0.39,0.4,0.39,0.4,865.13,22,0.3973956515205807
KXBTC15M-26SEP051745-45,1788644442,0.39,0.41,0.39,0.39,1676.8,26,0.39430826574427486
KXBTC15M-26SEP051745-45,1788644443,0.39,0.4,0.39,0.4,2114.92,33,0.39521580012482743
KXBTC15M-26SEP051745-45,1788644444,0.4,0.4,0.39,0.4,583.07,11,0.3942552352204709
KXBTC15M-26SEP051745-45,1788644445,0.4,0.4,0.39,0.39,711.23,22,0.39895926774742346
KXBTC15M-26SEP051745-45,1788644446,0.4,0.4,0.39,0.4,1759.33,36,0.39921265481745893
KXBTC15M-26SEP051745-45,1788644447,0.4,0.4,0.39,0.4,319.12,19,0.3993052770117824
KXBTC15M-26SEP051745-45,1788644448,0.4,0.4,0.39,0.4,384.03,20,0.3990464286644273
KXBTC15M-26SEP051745-45,1788644449,0.4,0.4,0.4,0.4,627.6899999999999,19,0.4
KXBTC15M-26SEP051745-45,1788644450,0.4,0.4,0.39,0.4,1491.89,25,0.3994915845001977
KXBTC15M-26SEP051745-45,1788644451,0.4,0.4,0.39,0.4,201.34,17,0.39906327605046193
KXBTC15M-26SEP051745-45,1788644452,0.4,0.4,0.39,0.4,2297.82,33,0.39984746411816413
KXBTC15M-26SEP051745-45,1788644453,0.4,0.41,0.39,0.39,621.17,27,0.4007849702979861
KXBTC15M-26SEP051745-45,1788644454,0.39,0.4,0.39,0.4,2609.64,33,0.3985931776030411
KXBTC15M-26SEP051745-45,1788644455,0.4,0.4,0.39,0.4,408.87,25,0.39723286130065794
KXBTC15M-26SEP051745-45,1788644456,0.4,0.4,0.39,0.39,899.59,26,0.39870174190464547
KXBTC15M-26SEP051745-45,1788644457,0.4,0.41,0.39,0.41,1006.96,26,0.40368187415587514
KXBTC15M-26SEP051745-45,1788644458,0.41,0.41,0.4,0.41,1574.17,44,0.4095711390764657
KXBTC15M-26SEP051745-45,1788644459,0.4,0.41,0.4,0.4,1034.46,31,0.40622924037662156
KXBTC15M-26SEP051745-45,1788644460,0.4,0.41,0.4,0.41,4562.33,68,0.4047958389682465
KXBTC15M-26SEP051745-45,1788644461,0.41,0.41,0.4,0.4,1371.29,31,0.4024921059732077
KXBTC15M-26SEP051745-45,1788644462,0.41,0.41,0.39,0.39,740.24,27,0.39998878742029614
KXBTC15M-26SEP051745-45,1788644463,0.39,0.4,0.38,0.38,1585.6299999999999,43,0.3877386906150868
KXBTC15M-26SEP051745-45,1788644464,0.39,0.39,0.37,0.37,1105.59,59,0.3782082869779937
KXBTC15M-26SEP051745-45,1788644465,0.37,0.38,0.37,0.37,608.04,38,0.37463193210972967
KXBTC15M-26SEP051745-45,1788644466,0.37,0.38,0.37,0.37,3266.34,41,0.37816672483574887
