ticker,signal_time,exit_time,volatility,trend,side,pnl,cost,exit
KXBTC15M-26AUG311800-00,2026-08-31T21:46:00.000Z,2026-08-31T21:51:00.000Z,low,BULLISH,yes,-0.5800000000000001,1.79,STOP_LOSS
KXBTC15M-26AUG311815-15,2026-08-31T22:02:00.000Z,2026-08-31T22:06:00.000Z,low,NEUTRAL,yes,0,1.53,STOP_LOSS
KXBTC15M-26AUG311845-45,2026-08-31T22:34:00.000Z,2026-08-31T22:37:00.000Z,low,BEARISH,no,0.22999999999999998,1.26,SCALP_TAKE_PROFIT
KXBTC15M-26AUG311945-45,2026-08-31T23:33:00.000Z,2026-08-31T23:38:00.000Z,low,NEUTRAL,yes,-0.6400000000000001,1.35,STOP_LOSS
KXBTC15M-26AUG312315-15,2026-09-01T03:01:00.000Z,2026-09-01T03:06:00.000Z,low,BULLISH,yes,0.6399999999999999,1.4400000000000002,SCALP_TAKE_PROFIT
KXBTC15M-26SEP010015-15,2026-09-01T04:04:00.000Z,2026-09-01T04:10:00.000Z,low,BULLISH,yes,1.3800000000000003,2.11,SCALP_TAKE_PROFIT
KXBTC15M-26SEP010045-45,2026-09-01T04:31:00.000Z,2026-09-01T04:35:00.000Z,low,BULLISH,yes,-0.67,1.02,STOP_LOSS
KXBTC15M-26SEP010130-30,2026-09-01T05:19:00.000Z,2026-09-01T05:23:00.000Z,medium,BULLISH,yes,-0.3700000000000001,0.7200000000000001,STOP_LOSS
KXBTC15M-26SEP010145-45,2026-09-01T05:31:00.000Z,2026-09-01T05:35:00.000Z,low,BULLISH,yes,0.25,1.2,SCALP_TAKE_PROFIT
KXBTC15M-26SEP011600-00,2026-09-01T19:46:00.000Z,2026-09-01T19:54:00.000Z,low,BULLISH,yes,-0.778,0.9,STOP_LOSS
KXBTC15M-26SEP011645-45,2026-09-01T20:31:00.000Z,2026-09-01T20:37:00.000Z,low,BULLISH,yes,0.5499999999999999,0.88,SCALP_TAKE_PROFIT
